sentence,intensity,sentiment
It means others can send money to us with paytm..,0.4000000059604645,Positive
It seem me good but for few days experiance was worst..,-0.5,Negative
I opened digibank DBS account as I liked the concept of virtual account and paper less account..,-0.10000000149011612,Negative
Employee serves or any family members..,-0.10000000149011612,Negative
Really its very bad experience and they need to work more on this to make happy customers.Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.699999988079071,Negative
"They will ask account zero balance, then will ask to convert saving account with min balance, I'm worried about my account when to close to get peaceful life, no ATM near by, quarterly SMS alert high, annual debit card charges high, Fixed deposit retun is less quarterly cheating customer making ...Read More.",-0.699999988079071,Negative
"Bank of India is a public secter bank since 1969.i have a account for two year.i like this bank very much .bank of india is only bany you can found its atm everywhere.i like its banking system and customer services.it has headquarters in Mumbai.It has also internet banking system.you can transfer money one to other.you can also pay your taxes, bill from inter banking facility.it has also direct deposit machine where you can deposit  money to your account.i opened a saving account for 1000rs with cheque book.i like it sms banking .you can aware your status through sms banking facility.i recommend this bank to my friends.this bank also most visited bank.Flag This ReviewIrrelevantFakeJunk   Thank You!.",0.8000000119209291,Positive
NOT GETTING OFFER WHICH WE GET WHILE RECHARGING MOBILE I USED PROMO CODE ALSO FOR DISCOUNT IN MOVIES AND TYPED PROMO CODE BUT DIDN'T GOT IT.Over good but many problems to be fixed.Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.0,Positive
I am complain regarding this by contact when I check the status of my complaint status comes amount debit according to terms and condition ..,-0.699999988079071,Negative
"It employs a large part of the country and has a emotional connect too.The State Bank Of India offer great Salary and benefits to it's employees and gives job security too.Career growth is great, people can become managers and enjoy alot of perks..",0.8999999761581421,Positive
Under promotional offers you may get some cash back and discounts..,0.10000000149011612,Positive
The worst thing is in this app is you can take screenshot...Read More.,-0.8000000119209291,Negative
The employees are not cooperating at all..,-0.8000000119209291,Negative
It is a bank where all your dreams must safe and protected.Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.8999999761581421,Positive
But each orgn I work for insists on having an account in a difft place and I have to toe the line..,-0.6000000238418579,Negative
Bank manager and other clerk staff is not giving any proper reason behind this problem..,-0.699999988079071,Negative
Then I have to open account every where in case I shift my work location..,-0.699999988079071,Negative
I also use this bank account..,0.0,Positive
This bank is good for all of indians because of there is nothing charges for ATM withdrawls & no minimum maintaining balance..,0.5,Positive
"Please look into the matter personally and arrange for immediate resolution.PLEASE SPEAK WITH BRANCH MANAGER RAILWAYPURA AND RESOLVE.From:agmcustomer.lhobho@sbi.co.in[mailto:agmcustomer.lhobho@sbi.co.in]Sent: Wednesday, January 18, 2017 12:43 PMTo: ahemedabadSubject: Fw: Pending ComplaintsSir,We herewith forwarding the complaint received from the customer as the concerned branch comes under your administrative control So, kindly resolve the issue and give a suitable reply to the customer under confirmation to us.Regards,Assistant General Manager(CS)LHO, BhopalFrom:dgm.customer@sbi.co.inSent:Tuesday, January 17, 2017 6:48 PMTo: Varix PatelCc: agmcustomer.lhobho@sbi.co.inSubject: Re: Pending ComplaintsDear Sir/Madam,We acknowledge the receipt of your below mentioned email.We have forwarded your complaint to the concerned department/agmcustomer /pstocgm at the local head office(mail id as appearing in cc of address bar) who will be arranging for resolution of your issue/complaint/feedback and will be responding/contacting you shortly.pstocgm.lho@sbi.co.inIn case of delay please feel free to email to mailto:pstocgm.lho@sbi.co.in, where stands for first three alphabets of respective circle..",-0.4000000059604645,Negative
When I was 17 I visited many banks to open a savings accounts but everyone denied to open the account because my age was not above 18..,-0.8000000119209291,Negative
"Worker 'to fir ghoti ja k paise bharo and went away'.Surrounding people said, 'he is 80 years old man, we are ready to wait bt please assist him.'.",-0.5,Negative
State Bank of India is a multinational banking and financial services..,0.10000000149011612,Positive
Free space in the branch is too small ..,-0.30000001192092896,Negative
Paytm is very secure to all of one.Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.8999999761581421,Positive
Overall the bank is not having a very prompt staff I would not recommend this bank especially if your a senior citizen.Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.6000000238418579,Negative
For adding money in wallet.. it's the very very good there..,0.8999999761581421,Positive
Since then my experience with the bank has been pathetic and extremely frustrating..,-0.8000000119209291,Negative
?-bullsit),0.10000000149011612,Positive
"I called them, first they said'Its opened'..",-0.20000000298023224,Negative
"In a bank where there are so many errors to begin with, how much does it take to move something here to there and claim ""we don't know how it happened'?If I were a journalist, I'd be writing a blog on experiences with BoIIf you are a new bank customer..",-0.699999988079071,Negative
I was upset because I have to wait 7 days for account number..,-0.8000000119209291,Negative
SBI have good customer service to help customers and account holder's..,0.4000000059604645,Positive
Sbi is the only centralized bank which works under the reserve bank of India.The job n sbi facilities is good for employees but the customer service is bad.The treating the customer in a rude behavior is much horrible I have seen in many branches n I also have account in sbi.The atm centre's are very good service n have lot of number of atm per very area.The fixed deposites of the sbi are very low n has strong locker system so you can trust them but customer service should improve to handle more customersFlag This ReviewIrrelevantFakeJunk   Thank You!.,-0.6000000238418579,Negative
He suggested me to open an account in Bangiya Gramin Vikash Bank.So I went to this bank branch.I asked from the manager what is the procedure to open the account.The manager seemed very helpful..,0.0,Positive
"Paytm Bank Gives its user Digital Debit Card through which users can do online Domestic Payments, if a user wants to get a Physical Debit Card too then he can request on Paytm App and pay the Charges of Debit card which is Rs 100 and his/her Debit Card will be Delivered to the informed Address.Benefit of Using Paytm Payments Banks is that it provides 5 free ATM Transaction in Non Metro cities & 4 free transactions in Metro cities.I'm using Paytm Payments Bank from Year and I really love it, they Email monthly statements on my Email address, Message alert is provided by them, 247 Customer help Support etc..",0.6000000238418579,Positive
With all these facilities and good services I found many bad points of this bank which completely disapoints me.private banks provide more offers and disscounts for online shopping from their debit or credit cards.This bank does not treat customers as private banks doStaff is no behaving properly with customersBank branches doesn't have enough space according to their customers and flooded with heavy rushyou have to wait for a long time in bank for your numbercustomer sercice centre is pathetic and calling them is equal to banging your head on wallInterest rates are lowstaff doesn't provide enough knowledge and details to customersOverall I am not satisfied with their behaviour and dealing and private banks are ver polite and handle very decently and banks like axis bank and hdfc banks are providing amazing offers with supper fast services but yes one can call SBI as common man's bank and good for normal usage but if you want extra offers and services go for private bank and they will definitely please you very well.Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.5,Negative
I m uses mostly all of all site like paypal or more but my experience in paytm are best as compared of other they will provide a big security of your information and also a more features include payment options also..,0.699999988079071,Positive
Hi friends..,0.10000000149011612,Positive
You can transfer money to any bank without any service charge..,0.8000000119209291,Positive
But here I am sharing my one of very bad experience with it at the time of demonitization when currency gets to be exchanged..,-0.8000000119209291,Negative
Of course it would be!.,0.20000000298023224,Positive
"So, some time I faced trouble .When I transfer money via Online, it took too much time to credit ..",-0.699999988079071,Negative
I don't get any replies even to the e-mails sent to bank branches.It's very painful to manage your account if your home branch is at a distant location or different state etc..,-0.8000000119209291,Negative
if request also they wont.. plz replace him.. 120.. better nxt ?Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.30000001192092896,Negative
"I am using this card since last 2 years and indeed its one of the most luxurious card of all the times.Must say please go for it, as it gives an Ultimate style statement and meaning to your life.Apart from this they are paying you?500 off on booking movie tickets on book my show.May be the annual charges are more but they are also paying you coupon which is worth to your annual charges.Overall a wealthy deal and a stylish start.Flag This ReviewIrrelevantFakeJunk   Thank You!.",0.8000000119209291,Positive
This app also helpful for business purpose and other recharges through Paytm.Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.8999999761581421,Positive
Inhidden charges are being cut from the account in particular s...Read More.,-0.699999988079071,Negative
Hello friend!.,0.6000000238418579,Positive
But this policy will make r...Read More.,-0.20000000298023224,Negative
Paytm app offers best choice for your bill payment power bill DTH recharge mobile recharge train ticket bus tickets etc..,0.8000000119209291,Positive
As we know that paytm payments bank is a part of paytm..,0.0,Positive
This is the very great application of the android mobiles phone..,0.8999999761581421,Positive
Today I am going to share my opinion on SBI..,0.0,Positive
Quite hectic wotk but satisfied as I am delivering services to the public..,0.699999988079071,Positive
"But, till bank charged her ..",-0.6000000238418579,Negative
Bank officer gives me personally attention and gives me appropriate solution regarding loans.I am very thankful to bank of india..,0.8999999761581421,Positive
"It has now happened 5-6 times and I suspect its the staff making excuses so not to do the work.Also, the staff misbehaved with another customer and literally yelled at him..",-0.8000000119209291,Negative
They take much longer time as compare to others..,-0.8000000119209291,Negative
"It is protected your details, very secure..",0.8999999761581421,Positive
Digibank belongs to Development Bank of Singapre and is quite a trusted name.. It is one of the best bank of india.It comes in top 500 banks of india.i also have an account in this bank.This bank gives good interest for his costumers.and give loan at lo interest.You never disappointed by this bank they always takes care of his costumers.Their services is very good than others.This bank is very fast than others.it brings more policies for help of their costumers.and its app is also excellent.Me and my family are all loves this bank.Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.8999999761581421,Positive
Faculty - kotak give you hear all type or service like check boo...Read More.,0.0,Positive
I got so many emails and messages n alerts to register with Kotak Mahendra bank..,-0.4000000059604645,Negative
"But unfortunately it takes for this, which is not good.. really tired of complaining everything.as Today I have been charged twice for Annual ATM mainteneace fee..",-0.8000000119209291,Negative
And another Indian bank never give this opportunity.No need to go to the bank or atm both..,-0.699999988079071,Negative
Sbi means State bank of india has earnd a great name in the field of Banking by theire ways of quality of works and skilled laboure who worked also there fundamental rights and securities provided by him is soo far and too good welll hear I would like to say that nice banking facilities providin...Read More.,0.4000000059604645,Positive
Every time telling me new rule and saying that you have pay some charges for this and that every time..,-0.699999988079071,Negative
Every bank run for their income and profit exetra benefits but paytm bank runs to helping people..,0.30000001192092896,Positive
Personally I like the cashback offer the most and Paytm provide them a lot..,0.8999999761581421,Positive
This is safe and secure bank and bank accountFlag This ReviewIrrelevantFakeJunk   Thank You!.,0.8999999761581421,Positive
"The banks system is very nice , the management is very nice ..",0.8000000119209291,Positive
I'm amazed with its services and delighted too.every body know how demonatisation toppled us and thats why I got some penny( only penny) to deposit in bank and my old account get deactivated.because I hardly use them..,0.8000000119209291,Positive
Others bank stuff are very kind but this one very bad.Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.0,Positive
"But, tough luck, that is what I pick up for example..",-0.30000001192092896,Negative
Few days ago Paytm payment bank launched a scheme for UPI transection ₹1 cashback per transaction..,-0.30000001192092896,Negative
I like this application because this application help to make india digital..,0.8999999761581421,Positive
And not found in Evey where..,-0.30000001192092896,Negative
"Paytm is an Indian e-commerce payment & digital wallet company .Founded by Vijay Shekhar Sharma sir .Paytm use online mobile recharges, bill payment, trave, moveis, as well as in store payments like fruits and vegetable shops and education institute etc.very easy to use scan and pay.Today lot of merchants across India use QR code to accept payments.Ofter approval for payment Bank to paytm..",0.30000001192092896,Positive
I receives so many emails and messages in,0.30000001192092896,Positive
Fare work..,-0.30000001192092896,Negative
It helped me to open a bank account within just 10 minutes..,0.8999999761581421,Positive
"Online payment is made, sending money to someone, it is very easy to get money from someone else and get cashback on bill payment etc..",0.4000000059604645,Positive
Kindly improve the banking service.Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.5,Negative
I have account inthis since 5 year I am soo happy with its service ..,0.8999999761581421,Positive
"Union bank of india is another bank runned by the goverment of india.it is a nationalized bank,Good bank in name of fame but there are some problems with the netbanking of the bank,But it is a nationaized bank you can transfer money easily through upi since only 21 banks have this facility in that union bank is also the one, the employees working there are co operative the managers are cooperative they solve the problem hasstle free if you request them.Flag This ReviewIrrelevantFakeJunk   Thank You!.",0.30000001192092896,Positive
Kotak mahindra bank launched 811 mobile banking to open your account online in app at zero balance..,-0.6000000238418579,Negative
"no response and went away.This is the value of the customer in BOI, totally local bank.Flag This ReviewIrrelevantFakeJunk   Thank You!.",-0.6000000238418579,Negative
Sbi has introduced Greene channel for first transaction but now you have to stand in a Que for making a transaction in the green channel.The staffs of sbi are not so familiar with a customer like another bank..,-0.5,Negative
They provide every facility to coustmers but their staff is very greedy..,-0.699999988079071,Negative
I've used ATMs from several banks across the country.. whereas services of it are very poor..,-0.699999988079071,Negative
I would say NEVER NEVER choose this bank.I would love to see this bank go bankrupt..,-0.699999988079071,Negative
Staf is very friendly.Love you..,0.8999999761581421,Positive
"OMG one of the biggest mistake of my life, I opened a savings account when I was minor now when I turned major they took about 11months to issue my ATM card.ok alright than they took about 1month to activate my account.I have worst branch of sbi were there are 5 cashiers counter but only 1 of them counter is opened and all are closed since I was 17years old( now I m 21) .Simply go to IDBI or ICICI.Flag This ReviewIrrelevantFakeJunk   Thank You!.",-0.5,Negative
I open a account of the bank of india in year 2017.. every time when I goes to the branch I lost my almost 1 to 1 and half hours..,-0.699999988079071,Negative
Mastercard helpline give the good customer services .Rates in a averages .I am strangely recommend to all of master card is a best way for you ..,0.8000000119209291,Positive
"On mobile recharges , dth..",0.10000000149011612,Positive
Its completely banking service provider to every one customer..,-0.10000000149011612,Negative
"It has no working time , it can work 24/7.We can pay the electrical bills also with the paytm payments.There is no need to go to the bank everytime we can do the bank activities with the paytm.And there is no charges for any activity in paytm.Flag This ReviewIrrelevantFakeJunk   Thank You!.",0.8000000119209291,Positive
I am sharing experiences about the union Bank of India !This is six to seven year old experience of my brother ..,0.30000001192092896,Positive
"This is a public sector bank but nowadays this is behaving like a pvt.. unfortunatly she didnt have a cheque,  inssurance componey said its ok if she have a bank veryfication letter .then we came to our branch after filling the form and all, manager was telling us only come after 4pm ..",-0.8000000119209291,Negative
"The e-galleries of the bank provide self servise banking kiosks such as ATM machines, cash deposit kiosks and passbook printing kiosks which provide round the clock banking services to the customers..",0.20000000298023224,Positive
"I also user of this wallet .you can link your addhar card on this wallet .you can recive paytm cash from any offer .i like to use paytm wallet and india proud of his own online bank .i trusted the paytm .i suggested to use paytm wallet , bank , ect.Flag This ReviewIrrelevantFakeJunk   Thank You!.",0.699999988079071,Positive
Now sbi also going to become like other irresponsible government offices.Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.6000000238418579,Negative
"However, the transaction is still not done..",-0.8000000119209291,Negative
The process for opening a new bank account was easy and quick.. till date I am visiting branch but not get proper response from branch staff(karad)Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.30000001192092896,Negative
For loan purpose first day they understand me our process and term and condition and internce of laon..,0.699999988079071,Positive
Just take mobile download paytm and do KYC to open bank account after that just deposit the money and do whatever..,0.0,Positive
So paytm started its bank as Paytm Payments Bank.Paytm Payments Bank is actually a good bank for savings as it gives you 4% interest P.a..,0.5,Positive
recharge any phone number.The design of this application is quite good and handy.means it is easy to use.this app is design to use it by some clicks.When it comes to features I will say that..,0.699999988079071,Positive
"When I install this app, Then I have no kotak bank a/c but I open my saving a/c in 2-5 minutes by this app through Aaadhar ekyc..",0.0,Positive
Size of the bank is small ..,-0.6000000238418579,Negative
And the support system is very good if we are in need we can call them anytime and they will help us..,0.8999999761581421,Positive
I like one other feature of this app that you can send anyone even if he has not paytm wallet but he has any other wallet or upi Id .Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.8000000119209291,Positive
Froud transition hone par koi support nhi ..,-0.699999988079071,Negative
"This bank already have low ranking in india because of no customer support and less facilites.Here I have problemed faced in this bank.No customer grievance support,Slow banking system in terms of internet banking.More paper work when apply for any service.Due to large uneducated peoples accounts, Rush in bank is common.Not good for buisness or current accounts.Service charge is high then other banks.so my overall experience is bad with this bank.Flag This ReviewIrrelevantFakeJunk   Thank You!.",-0.699999988079071,Negative
Today I will share some bad experience of state bank of india one of the the biggest bank of india.Several time I have went to sbi bank I have faced the same thing all staff are rudely behaving with customer.they are some time become arrogant and  showing apathy towards the customer.generally they take extra 20 min after lunch for that every customer has to sufferFlag This ReviewIrrelevantFakeJunk   Thank You!.,-0.699999988079071,Negative
Interview applicants and request specified information for loan applications.,0.0,Positive
"I have been customer of BOI since last 10 yrs , bt i hv never satisfied with bank service..",-0.6000000238418579,Negative
"I applied my all details including Aadhar card and pan card, but my pan card verification is still pending..",-0.8000000119209291,Negative
I have an account in Bank Of India and I am connected this bank last three years.I am happy for making an account in this bank because one of the main thing is customer behaviour.Customer behaviour is very good in this bank they also help for any problem but my father has an sbi account and I also handling my father account but customer behaviour is not better than BOI.BOI bank atm service is also available in my area.But one of problem is phone banking services is not good and I am facing some problem so I avoid this phone banking services.Otherwise the bank is good.Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.30000001192092896,Negative
The staff is not supporting enough.The debit card of BOI is also not supported by Paypal..,-0.699999988079071,Negative
Therefore I am not satisfied with bank of India..,-0.8000000119209291,Negative
Hey guys!.,0.4000000059604645,Positive
This is my review about paytm !Basically paytm wallet is very good app for shopping..,0.699999988079071,Positive
I have ever used this..,-0.20000000298023224,Negative
"it is providing very good service, as it is new there is no crowd at the counter ( cash counter) , very easy to deposit money and case out..",0.8999999761581421,Positive
I have escalated step by step after waiting for more than required period and I am sorry to say the experience remained same..,-0.8000000119209291,Negative
Its the top psu bank in the country..,0.8999999761581421,Positive
"I am waiting.Br,Varix PatelOn Wed, Feb 1, 2017 at 5:01 PM,  wrote:Dear Sir,(pstocgm.lhoahm@sbi.co.in) (gm.customer@sbi.co.in)We have received your email addressed to the Chairman and thank you for bringing it to our attention..",0.20000000298023224,Positive
I was surprised over Answer .There is very poor internet connectivity ..,-0.699999988079071,Negative
Its customer service is very bad..,-0.8000000119209291,Negative
Among them is phone banking only we have to give our account number and we can check our balance by sitting at home.ATM are at every street corner of calcutta and people are accessing this ATM.Apart from phone it has internet banking too which is called e-banking..,-0.10000000149011612,Negative
"So I need to physically pull back the cash by remaining in the since quite a while ago swarmed line in bank.Furthermore, bank's online installment benefit is likewise terrible..",-0.699999988079071,Negative
Digibank is actually a modified wallet..,-0.10000000149011612,Negative
While opening the account they behaved very nicely but after that whenever I went for any bank work they always behaved rudely and disrespectfully.They do not answer any type of queries and talk in rude tone..,-0.8000000119209291,Negative
I have account in state bank of india since last 7 years and I must say state bank of india is really very good.till now I have never faced any problems from this bank..,0.6000000238418579,Positive
In June they informed me that somehow there is some problem and they LOST all applications which were made for ATM so I have to make a new application for ATM..,-0.6000000238418579,Negative
The staffs are much better than government banks..,0.8000000119209291,Positive
"Can they explain me, if someone stole my 6 things, why I am getting back only 5?.",-0.5,Negative
The site UI experience is quite good..,0.6000000238418579,Positive
Digibank is an smartphone application which basically is an wallet but one can upgrade it to a bank account by submitting,0.0,Positive
I have an account In This bank ..,0.0,Positive
"Bank of India is a nationlised bank and its service is far better than any private banks I have a saving account in BOI for many years and I have noticed that its service is quick , secure and time saving It provides lockers also at reasonable charges which is yearly or you can pay for three years.They are very spacious and safe to keep valuable things It has ATM , online transaction facilites internet banking system so you can transfer money to other branch or other bank easily The staff are so courteous , humble and client friendly which I like most Apart from BOI provides all types of loan eg home loan educational loan etc for needed people.Because of their education loan many students dreams come true to get higher education whether in India or abroad  If you repay loans before time they dont charge penalty For staff and its family BOI provides holiday home at very nominal cost at Matheran , Nathdwara and many more So I can say for customers and staff this bank has proved boon I recommend you to open an account with Bank Of India and avail its serviceFlag This ReviewIrrelevantFakeJunk   Thank You!.",0.699999988079071,Positive
"Sbi this bank service is not bad , but lots of advantage and disadvantages too..",-0.4000000059604645,Negative
One things is good with this app is paper less banking but it is very normal app for bank user ..,0.0,Positive
I think other bank are better than this bank.Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.6000000238418579,Negative
I have two account of this bank..,0.0,Positive
"my other account had 0 balance, they've charged 100 as a fine..",-0.6000000238418579,Negative
"There is even a chance for the person who joins as a probationary Officer to become a CEO, such is the growth in any PSU.Verdict:Final verdict, I would defiantlyrecommend one to join in Syndicate BankFlag This ReviewIrrelevantFakeJunk   Thank You!.",0.8000000119209291,Positive
And the insurance policy of this bank is very good and interest of this bank is fine..,0.6000000238418579,Positive
"My father has account in this bank.my father has 3 bank accounts.one account has in this bank.so sometimes I went with my father in bank.so I know about this bank.In this app many problems avliable.first problem this bank not have many branch.so long distance between in my house and bank.It's Atm count is too small.no many atm avliable.In this bank internet banking is not avliable.now internet banking is very famous but in this bank this service not avliable.It's customer service are very bad it's workers not their work properly, they treat us like a enemy.their behavior I really don't like.So friends stay from from this bank.Flag This ReviewIrrelevantFakeJunk   Thank You!.",-0.8000000119209291,Negative
"They take 3 hours for making a single demand draft and if they dont feel like to make it they always hv an excuse that "" system is not workin maam""..",-0.8000000119209291,Negative
At least I want to say you that this bank is awesome..,0.699999988079071,Positive
All staff are lazy and not willing to work worst bank..,-0.8000000119209291,Negative
Most of the employee in branch is aged..,-0.30000001192092896,Negative
"I HATE THIS OPTION.Customer Service:-For all the Banking related request, we need to visit Home branch and transactions wont happen instantly and it will take days of time..",-0.8000000119209291,Negative
I can use my kotak debit card for international transaction..,0.30000001192092896,Positive
Really pathetic and outdated serviceFlag This ReviewIrrelevantFakeJunk   Thank You!.,-0.5,Negative
